Date,Min Temperature (C),Max Temperature (C),Min Humidity (%),Max Humidity (%),Min Wind Speed (m/s),Max Wind Speed (m/s)
2024-08-15,26.590000000000032,28.939999999999998,58,72,1.35,1.74
2024-08-16,26.420000000000016,33.08000000000004,45,73,0.59,5.64
2024-08-17,26.680000000000007,32.960000000000036,45,70,0.32,5.59
2024-08-18,26.060000000000002,32.450000000000045,49,74,0.99,5.15
2024-08-19,26.060000000000002,32.73000000000002,44,73,0.37,5.5
2024-08-20,26.30000000000001,33.27000000000004,44,71,0.8,5.81
